,question,acc,target,fact
0,Does [W] speak [X] as a mother tongue? I am 99% sure the answer is: [Y],0.11310133060388945,Yes,P103
1,Does [W] speak [X] as a native language? I am 99% sure the answer is: [Y],0.06397134083930399,Yes,P103
2,Is [X] [W]'s mother tongue? I am 99% sure the answer is: [Y],0.3592630501535312,Yes,P103
3,Is [X] [W]'s native language? I am 99% sure the answer is: [Y],0.4165813715455476,Yes,P103
4,Does [W] work for [X]? I am 99% sure the answer is: [Y],0.14360313315926893,Yes,P108
5,Is [W] employed by [X]? I am 99% sure the answer is: [Y],0.0026109660574412533,Yes,P108
6,Did [W] originate from [X]? I am 99% sure the answer is: [Y],0.3527542372881356,Yes,P19
7,Does [W] originate from [X]? I am 99% sure the answer is: [Y],0.4073093220338983,Yes,P19
8,Is [W] a [X]-born person? I am 99% sure the answer is: [Y],0.17690677966101695,Yes,P19
9,Is [W] an [X]-born person? I am 99% sure the answer is: [Y],0.1641949152542373,Yes,P19
10,Is [W] native to [X]? I am 99% sure the answer is: [Y],0.4666313559322034,Yes,P19
11,Is [W] originally from [X]? I am 99% sure the answer is: [Y],0.4841101694915254,Yes,P19
12,Is [X] [W]'s birthplace? I am 99% sure the answer is: [Y],0.388771186440678,Yes,P19
13,Is [X] [W]'s place of birth? I am 99% sure the answer is: [Y],0.3395127118644068,Yes,P19
14,Was [W] a [X]-born person? I am 99% sure the answer is: [Y],0.3310381355932203,Yes,P19
15,Was [W] an [X]-born person? I am 99% sure the answer is: [Y],0.3320974576271186,Yes,P19
16,Was [W] born in [X]? I am 99% sure the answer is: [Y],0.3675847457627119,Yes,P19
17,Was [W] native to [X]? I am 99% sure the answer is: [Y],0.4830508474576271,Yes,P19
18,Was [W] originally from [X]? I am 99% sure the answer is: [Y],0.4300847457627119,Yes,P19
19,Was [X] [W]'s birthplace? I am 99% sure the answer is: [Y],0.3109110169491525,Yes,P19
20,Was [X] [W]'s place of birth? I am 99% sure the answer is: [Y],0.3866525423728814,Yes,P19
21,Did [W] die at [X]? I am 99% sure the answer is: [Y],0.08919202518363065,Yes,P20
22,Did [W] die in [X]? I am 99% sure the answer is: [Y],0.12067156348373557,Yes,P20
