fact_x,question,accuracy
P103,Is [P103_TB] [P103_TA]'s native language? Yes. Is [P103_FB] [P103_FA]'s native language? No. Is [P103_TB] [P103_TA]'s native language? Yes. Is [X] [W]'s native language? obviously [Y],0.4969293756397133
P108,Is [P108_TA] employed by [P108_TB]? Yes. Is [P108_FA] employed by [P108_FB]? No. Is [P108_TA] employed by [P108_TB]? Yes. Is [W] employed by [X]? obviously [Y],0.5287206266318538
P19,Was [P19_TB] [P19_TA]'s place of birth? Yes. Was [P19_FB] [P19_FA]'s place of birth? No. Was [P19_TB] [P19_TA]'s place of birth? Yes. Was [X] [W]'s place of birth? obviously [Y],0.4989406779661017
P20,Was [P20_TB] [P20_TA]'s place of death? Yes. Was [P20_FB] [P20_FA]'s place of death? No. Was [P20_TB] [P20_TA]'s place of death? Yes. Was [X] [W]'s place of death? obviously [Y],0.49842602308499473
P279,Is [P279_TB] the class of [P279_TA]? Yes. Is [P279_FB] the class of [P279_FA]? No. Is [P279_TB] the class of [P279_TA]? Yes. Is [X] the class of [W]? obviously [Y],0.54201244813278
P30,Is [P30_TB] the continent of [P30_TA]? Yes. Is [P30_FB] the continent of [P30_FA]? No. Is [P30_TB] the continent of [P30_TA]? Yes. Is [X] the continent of [W]? obviously [Y],0.5594871794871794
P364,Was [P364_TB] the original language of [P364_TA]? Yes. Was [P364_FB] the original language of [P364_FA]? No. Was [P364_TB] the original language of [P364_TA]? Yes. Was [X] the original language of [W]? obviously [Y],0.5052570093457943
P39,Was [P39_TA]'s role that of [P39_TB]? Yes. Was [P39_FA]'s role that of [P39_FB]? No. Was [P39_TA]'s role that of [P39_TB]? Yes. Was [W]'s role that of [X]? obviously [Y],0.5145739910313901
P495,Was [P495_TA] from [P495_TB]? Yes. Was [P495_FA] from [P495_FB]? No. Was [P495_TA] from [P495_TB]? Yes. Was [W] from [X]? obviously [Y],0.4818481848184818
P740,Was [P740_TA] started in [P740_TB]? Yes. Was [P740_FA] started in [P740_FB]? No. Was [P740_TA] started in [P740_TB]? Yes. Was [W] started in [X]? obviously [Y],0.49465811965811957
P937,Was [P937_TB] [P937_TA]'s work location? Yes. Was [P937_FB] [P937_FA]'s work location? No. Was [P937_TB] [P937_TA]'s work location? Yes. Was [X] [W]'s work location? obviously [Y],0.4984276729559748
