,question,acc,target,fact
0,Does [W] speak [X] as a mother tongue? I am 99% sure the answer is: [Y],0.00511770726714432,yes,P103
1,Does [W] speak [X] as a native language? I am 99% sure the answer is: [Y],0.0015353121801432957,yes,P103
2,Is [X] [W]'s mother tongue? I am 99% sure the answer is: [Y],0.45445240532241554,yes,P103
3,Is [X] [W]'s native language? I am 99% sure the answer is: [Y],0.1345957011258956,yes,P103
4,Does [W] work for [X]? I am 99% sure the answer is: [Y],0.12663185378590078,yes,P108
5,Is [W] employed by [X]? I am 99% sure the answer is: [Y],0.0039164490861618795,yes,P108
6,Did [W] originate from [X]? I am 99% sure the answer is: [Y],0.4724576271186441,yes,P19
7,Does [W] originate from [X]? I am 99% sure the answer is: [Y],0.4793432203389831,yes,P19
8,Is [W] a [X]-born person? I am 99% sure the answer is: [Y],0.131885593220339,yes,P19
9,Is [W] an [X]-born person? I am 99% sure the answer is: [Y],0.1281779661016949,yes,P19
10,Is [W] native to [X]? I am 99% sure the answer is: [Y],0.4676906779661017,yes,P19
11,Is [W] originally from [X]? I am 99% sure the answer is: [Y],0.4989406779661017,yes,P19
12,Is [X] [W]'s birthplace? I am 99% sure the answer is: [Y],0.4973516949152542,yes,P19
13,Is [X] [W]'s place of birth? I am 99% sure the answer is: [Y],0.4989406779661017,yes,P19
14,Was [W] a [X]-born person? I am 99% sure the answer is: [Y],0.2854872881355932,yes,P19
15,Was [W] an [X]-born person? I am 99% sure the answer is: [Y],0.2865466101694915,yes,P19
16,Was [W] born in [X]? I am 99% sure the answer is: [Y],0.4523305084745763,yes,P19
17,Was [W] native to [X]? I am 99% sure the answer is: [Y],0.4920550847457627,yes,P19
18,Was [W] originally from [X]? I am 99% sure the answer is: [Y],0.4915254237288136,yes,P19
19,Was [X] [W]'s birthplace? I am 99% sure the answer is: [Y],0.4978813559322034,yes,P19
20,Was [X] [W]'s place of birth? I am 99% sure the answer is: [Y],0.4989406779661017,yes,P19
21,Did [W] die at [X]? I am 99% sure the answer is: [Y],0.15057712486883526,yes,P20
22,Did [W] die in [X]? I am 99% sure the answer is: [Y],0.23924449108079748,yes,P20
23,Did [W] expire at [X]? I am 99% sure the answer is: [Y],0.10860440713536201,yes,P20
24,Did [W] expire in [X]? I am 99% sure the answer is: [Y],0.14375655823714587,yes,P20
25,Did [W] lose their life at [X]? I am 99% sure the answer is: [Y],0.03305351521511018,yes,P20
26,Did [W] lose their life in [X]? I am 99% sure the answer is: [Y],0.05771248688352571,yes,P20
27,Did [W] pass away at [X]? I am 99% sure the answer is: [Y],0.11594963273871983,yes,P20
28,Did [W] pass away in [X]? I am 99% sure the answer is: [Y],0.16998950682056663,yes,P20
29,Did [W] succumb at [X]? I am 99% sure the answer is: [Y],0.02465897166841553,yes,P20
