fact_x,question,accuracy
P103,Is [X] [W]'s native language? I am 99% sure the answer is: [Y],0.49744114636642767
P108,Is [W] employed by [X]? I am 99% sure the answer is: [Y],0.4882506527415142
P19,Was [X] [W]'s place of birth? I am 99% sure the answer is: [Y],0.5180084745762711
P20,Was [X] [W]'s place of death? I am 99% sure the answer is: [Y],0.5246589716684155
P279,Is [X] the class of [W]? I am 99% sure the answer is: [Y],0.5440871369294604
P30,Is [X] the continent of [W]? I am 99% sure the answer is: [Y],0.5179487179487179
P364,Was [X] the original language of [W]? I am 99% sure the answer is: [Y],0.5005841121495327
P39,Was [W]'s role that of [X]? I am 99% sure the answer is: [Y],0.5022421524663676
P495,Was [W] from [X]? I am 99% sure the answer is: [Y],0.5555555555555555
P740,Was [W] started in [X]? I am 99% sure the answer is: [Y],0.5080128205128204
P937,Was [X] [W]'s work location? I am 99% sure the answer is: [Y],0.5324947589098532
