,question,acc,target,fact
0,Does [W] speak [X] as a mother tongue? I am 100% sure the answer is: [Y],0.25742067553735926,Yes,P103
1,Does [W] speak [X] as a native language? I am 100% sure the answer is: [Y],0.17041965199590584,Yes,P103
2,Is [X] [W]'s mother tongue? I am 100% sure the answer is: [Y],0.4570112589559877,Yes,P103
3,Is [X] [W]'s native language? I am 100% sure the answer is: [Y],0.4953940634595701,Yes,P103
4,Does [W] work for [X]? I am 100% sure the answer is: [Y],0.2597911227154047,Yes,P108
5,Is [W] employed by [X]? I am 100% sure the answer is: [Y],0.010443864229765013,Yes,P108
6,Did [W] originate from [X]? I am 100% sure the answer is: [Y],0.4279661016949153,Yes,P19
7,Does [W] originate from [X]? I am 100% sure the answer is: [Y],0.4486228813559322,Yes,P19
8,Is [W] a [X]-born person? I am 100% sure the answer is: [Y],0.2468220338983051,Yes,P19
9,Is [W] an [X]-born person? I am 100% sure the answer is: [Y],0.22351694915254236,Yes,P19
10,Is [W] native to [X]? I am 100% sure the answer is: [Y],0.486228813559322,Yes,P19
11,Is [W] originally from [X]? I am 100% sure the answer is: [Y],0.4962923728813559,Yes,P19
12,Is [X] [W]'s birthplace? I am 100% sure the answer is: [Y],0.4528601694915254,Yes,P19
13,Is [X] [W]'s place of birth? I am 100% sure the answer is: [Y],0.3686440677966102,Yes,P19
14,Was [W] a [X]-born person? I am 100% sure the answer is: [Y],0.3744703389830508,Yes,P19
15,Was [W] an [X]-born person? I am 100% sure the answer is: [Y],0.3675847457627119,Yes,P19
16,Was [W] born in [X]? I am 100% sure the answer is: [Y],0.4163135593220339,Yes,P19
17,Was [W] native to [X]? I am 100% sure the answer is: [Y],0.4920550847457627,Yes,P19
18,Was [W] originally from [X]? I am 100% sure the answer is: [Y],0.4602754237288136,Yes,P19
19,Was [X] [W]'s birthplace? I am 100% sure the answer is: [Y],0.40625,Yes,P19
20,Was [X] [W]'s place of birth? I am 100% sure the answer is: [Y],0.4083686440677966,Yes,P19
21,Did [W] die at [X]? I am 100% sure the answer is: [Y],0.07450157397691501,Yes,P20
22,Did [W] die in [X]? I am 100% sure the answer is: [Y],0.1044071353620147,Yes,P20
23,Did [W] expire at [X]? I am 100% sure the answer is: [Y],0.015739769150052464,Yes,P20
24,Did [W] expire in [X]? I am 100% sure the answer is: [Y],0.03620146904512067,Yes,P20
25,Did [W] lose their life at [X]? I am 100% sure the answer is: [Y],0.012591815320041973,Yes,P20
26,Did [W] lose their life in [X]? I am 100% sure the answer is: [Y],0.014690451206715634,Yes,P20
27,Did [W] pass away at [X]? I am 100% sure the answer is: [Y],0.11857292759706191,Yes,P20
28,Did [W] pass away in [X]? I am 100% sure the answer is: [Y],0.1626442812172088,Yes,P20
29,Did [W] succumb at [X]? I am 100% sure the answer is: [Y],0.016789087093389297,Yes,P20
30,Did [W] succumb in [X]? I am 100% sure the answer is: [Y],0.027806925498426022,Yes,P20
31,Did [W]'s life end at [X]? I am 100% sure the answer is: [Y],0.020461699895068207,Yes,P20
32,Did [W]'s life end in [X]? I am 100% sure the answer is: [Y],0.04879328436516264,Yes,P20
