fact_x,question,accuracy
P103,Is [X] [W]'s native language? I am pretty sure my answer is: [Y],0.4974411463664277
P108,Is [W] employed by [X]? I am pretty sure my answer is: [Y],0.6475195822454307
P19,Was [X] [W]'s place of birth? I am pretty sure my answer is: [Y],0.5010593220338982
P20,Was [X] [W]'s place of death? I am pretty sure my answer is: [Y],0.5005246589716684
P279,Is [X] the class of [W]? I am pretty sure my answer is: [Y],0.5160788381742738
P30,Is [X] the continent of [W]? I am pretty sure my answer is: [Y],0.4953846153846154
P364,Was [X] the original language of [W]? I am pretty sure my answer is: [Y],0.49299065420560745
P39,Was [W]'s role that of [X]? I am pretty sure my answer is: [Y],0.5011210762331838
P495,Was [W] from [X]? I am pretty sure my answer is: [Y],0.4812981298129812
P740,Was [W] started in [X]? I am pretty sure my answer is: [Y],0.5149572649572649
P937,Was [X] [W]'s work location? I am pretty sure my answer is: [Y],0.4984276729559748
