,question,acc,target,fact
0,Does [P103_TA] speak [P103_TB] as a mother tongue? Yes. Does [P103_TA] speak [P103_TB] as a mother tongue? Yes. Does [W] speak [X] as a mother tongue? I am sure my answer is [Y],0.03172978505629478,Yes,P103
1,Does [P103_TA] speak [P103_TB] as a native language? Yes. Does [P103_TA] speak [P103_TB] as a native language? Yes. Does [W] speak [X] as a native language? I am sure my answer is [Y],0.01330603889457523,Yes,P103
2,Is [P103_TB] [P103_TA]'s mother tongue? Yes. Is [P103_TB] [P103_TA]'s mother tongue? Yes. Is [X] [W]'s mother tongue? I am sure my answer is [Y],0.05527123848515865,Yes,P103
3,Is [P103_TB] [P103_TA]'s native language? Yes. Is [P103_TB] [P103_TA]'s native language? Yes. Is [X] [W]'s native language? I am sure my answer is [Y],0.030706243602865915,Yes,P103
4,Does [P108_TA] work for [P108_TB]? Yes. Does [P108_TA] work for [P108_TB]? Yes. Does [W] work for [X]? I am sure my answer is [Y],0.0,Yes,P108
5,Is [P108_TA] employed by [P108_TB]? Yes. Is [P108_TA] employed by [P108_TB]? Yes. Is [W] employed by [X]? I am sure my answer is [Y],0.0,Yes,P108
6,Did [P19_TA] originate from [P19_TB]? Yes. Did [P19_TA] originate from [P19_TB]? Yes. Did [W] originate from [X]? I am sure my answer is [Y],0.001059322033898305,Yes,P19
7,Does [P19_TA] originate from [P19_TB]? Yes. Does [P19_TA] originate from [P19_TB]? Yes. Does [W] originate from [X]? I am sure my answer is [Y],0.0026483050847457626,Yes,P19
8,Is [P19_TA] a [P19_TB]-born person? Yes. Is [P19_TA] a [P19_TB]-born person? Yes. Is [W] a [X]-born person? I am sure my answer is [Y],0.003707627118644068,Yes,P19
9,Is [P19_TA] an [P19_TB]-born person? Yes. Is [P19_TA] an [P19_TB]-born person? Yes. Is [W] an [X]-born person? I am sure my answer is [Y],0.0026483050847457626,Yes,P19
10,Is [P19_TA] native to [P19_TB]? Yes. Is [P19_TA] native to [P19_TB]? Yes. Is [W] native to [X]? I am sure my answer is [Y],0.003707627118644068,Yes,P19
11,Is [P19_TA] originally from [P19_TB]? Yes. Is [P19_TA] originally from [P19_TB]? Yes. Is [W] originally from [X]? I am sure my answer is [Y],0.0,Yes,P19
