fact_x,question,accuracy
P103,Is [X] [W]'s native language? [Y],0.5
P108,Is [W] employed by [X]? [Y],0.5026109660574412
P19,Was [X] [W]'s place of birth? [Y],0.5010593220338982
P20,Was [X] [W]'s place of death? [Y],0.5
P279,Is [X] the class of [W]? [Y],0.5140041493775933
P30,Is [X] the continent of [W]? [Y],0.5097435897435896
P364,Was [X] the original language of [W]? [Y],0.505841121495327
P39,Was [W]'s role that of [X]? [Y],0.5
P495,Was [W] from [X]? [Y],0.5022002200220023
P740,Was [W] started in [X]? [Y],0.5117521367521367
P937,Was [X] [W]'s work location? [Y],0.5052410901467506
