fact_x,question,accuracy
P103,Is [X] [W]'s native language? RESPUESTA: [Y],0.5266120777891504
P108,Is [W] employed by [X]? RESPUESTA: [Y],0.5378590078328981
P19,Was [X] [W]'s place of birth? RESPUESTA: [Y],0.4989406779661017
P20,Was [X] [W]'s place of death? RESPUESTA: [Y],0.5010493179433368
P279,Is [X] the class of [W]? RESPUESTA: [Y],0.5119294605809128
P30,Is [X] the continent of [W]? RESPUESTA: [Y],0.54
P364,Was [X] the original language of [W]? RESPUESTA: [Y],0.5035046728971962
P39,Was [W]'s role that of [X]? RESPUESTA: [Y],0.5033632286995515
P495,Was [W] from [X]? RESPUESTA: [Y],0.581958195819582
P740,Was [W] started in [X]? RESPUESTA: [Y],0.517094017094017
P937,Was [X] [W]'s work location? RESPUESTA: [Y],0.5026205450733752
