fact_x,question,accuracy
P103,Is [X] [W]'s native language? I am sure my answer is: [Y],0.5
P108,Is [W] employed by [X]? I am sure my answer is: [Y],0.6723237597911227
P19,Was [X] [W]'s place of birth? I am sure my answer is: [Y],0.5
P20,Was [X] [W]'s place of death? I am sure my answer is: [Y],0.5041972717733473
P279,Is [X] the class of [W]? I am sure my answer is: [Y],0.5269709543568464
P30,Is [X] the continent of [W]? I am sure my answer is: [Y],0.5056410256410255
P364,Was [X] the original language of [W]? I am sure my answer is: [Y],0.4976635514018691
P39,Was [W]'s role that of [X]? I am sure my answer is: [Y],0.5011210762331838
P495,Was [W] from [X]? I am sure my answer is: [Y],0.4939493949394939
P740,Was [W] started in [X]? I am sure my answer is: [Y],0.5080128205128204
P937,Was [X] [W]'s work location? I am sure my answer is: [Y],0.5036687631027253
