,question,acc,target,fact
0,Does [W] speak [X] as a mother tongue? I am 100% sure the answer is: [Y],0.04247697031729785,No,P103
1,Does [W] speak [X] as a native language? I am 100% sure the answer is: [Y],0.10644831115660185,No,P103
2,Is [X] [W]'s mother tongue? I am 100% sure the answer is: [Y],0.025076765609007165,No,P103
3,Is [X] [W]'s native language? I am 100% sure the answer is: [Y],0.007164790174002047,No,P103
4,Does [W] work for [X]? I am 100% sure the answer is: [Y],0.360313315926893,No,P108
5,Is [W] employed by [X]? I am 100% sure the answer is: [Y],0.4725848563968668,No,P108
6,Did [W] originate from [X]? I am 100% sure the answer is: [Y],0.0704449152542373,No,P19
7,Does [W] originate from [X]? I am 100% sure the answer is: [Y],0.04078389830508475,No,P19
8,Is [W] a [X]-born person? I am 100% sure the answer is: [Y],0.24947033898305085,No,P19
9,Is [W] an [X]-born person? I am 100% sure the answer is: [Y],0.2627118644067797,No,P19
10,Is [W] native to [X]? I am 100% sure the answer is: [Y],0.010063559322033898,No,P19
11,Is [W] originally from [X]? I am 100% sure the answer is: [Y],0.004766949152542373,No,P19
12,Is [X] [W]'s birthplace? I am 100% sure the answer is: [Y],0.028601694915254237,No,P19
13,Is [X] [W]'s place of birth? I am 100% sure the answer is: [Y],0.09375,No,P19
14,Was [W] a [X]-born person? I am 100% sure the answer is: [Y],0.12447033898305085,No,P19
15,Was [W] an [X]-born person? I am 100% sure the answer is: [Y],0.13241525423728814,No,P19
16,Was [W] born in [X]? I am 100% sure the answer is: [Y],0.07415254237288135,No,P19
17,Was [W] native to [X]? I am 100% sure the answer is: [Y],0.00423728813559322,No,P19
18,Was [W] originally from [X]? I am 100% sure the answer is: [Y],0.02913135593220339,No,P19
19,Was [X] [W]'s birthplace? I am 100% sure the answer is: [Y],0.08050847457627118,No,P19
20,Was [X] [W]'s place of birth? I am 100% sure the answer is: [Y],0.06779661016949153,No,P19
21,Did [W] die at [X]? I am 100% sure the answer is: [Y],0.40766002098635884,No,P20
22,Did [W] die in [X]? I am 100% sure the answer is: [Y],0.3955928646379853,No,P20
23,Did [W] expire at [X]? I am 100% sure the answer is: [Y],0.4837355718782791,No,P20
24,Did [W] expire in [X]? I am 100% sure the answer is: [Y],0.45068205666316896,No,P20
25,Did [W] lose their life at [X]? I am 100% sure the answer is: [Y],0.4900314795383001,No,P20
26,Did [W] lose their life in [X]? I am 100% sure the answer is: [Y],0.4832109129066107,No,P20
27,Did [W] pass away at [X]? I am 100% sure the answer is: [Y],0.35939139559286465,No,P20
28,Did [W] pass away in [X]? I am 100% sure the answer is: [Y],0.33945435466946483,No,P20
29,Did [W] succumb at [X]? I am 100% sure the answer is: [Y],0.4842602308499475,No,P20
30,Did [W] succumb in [X]? I am 100% sure the answer is: [Y],0.4669464847848898,No,P20
31,Did [W]'s life end at [X]? I am 100% sure the answer is: [Y],0.4737670514165792,No,P20
32,Did [W]'s life end in [X]? I am 100% sure the answer is: [Y],0.4428121720881427,No,P20
33,Is [X] [W]'s death location? I am 100% sure the answer is: [Y],0.07922350472193075,No,P20
